title,published,id,url,main_topic,all_topics,authors,year
Turbo Training with Token Dropout,2022-10-10 17:59:55+00:00,0,"""http://arxiv.org/pdf/2210.04889v1""",cs.CV,['cs.CV'],"['TENGDA HAN', 'WEIDI XIE', 'ANDREW ZISSERMAN']",2022
EVA3D: Compositional 3D Human Generation from 2D Image Collections,2022-10-10 17:59:31+00:00,1,"""http://arxiv.org/pdf/2210.04888v1""",cs.CV,['cs.CV'],"['FANGZHOU HONG', 'ZHAOXI CHEN', 'YUSHI LAN', 'LIANG PAN', 'ZIWEI LIU']",2022
In-Hand Object Rotation via Rapid Motor Adaptation,2022-10-10 17:58:45+00:00,2,"""http://arxiv.org/pdf/2210.04887v1""",cs.RO,"['cs.RO', 'cs.AI', 'cs.CV', 'cs.LG']","['HAOZHI QI', 'ASHISH KUMAR', 'ROBERTO CALANDRA', 'YI MA', 'JITENDRA MALIK']",2022
Revisiting adapters with adversarial training,2022-10-10 17:58:14+00:00,3,"""http://arxiv.org/pdf/2210.04886v1""",cs.CV,"['cs.CV', 'cs.LG']","['SYLVESTRE-ALVISE REBUFFI', 'FRANCESCO CROCE', 'SVEN GOWAL']",2022
SCAM! Transferring humans between images with Semantic Cross Attention Modulation,2022-10-10 17:54:47+00:00,4,"""http://arxiv.org/pdf/2210.04883v1""",cs.CV,"['cs.CV', 'cs.AI', 'cs.LG']","['NICOLAS DUFOUR', 'DAVID PICARD', 'VICKY KALOGEITON']",2022
Layer Ensembles,2022-10-10 17:52:47+00:00,5,"""http://arxiv.org/pdf/2210.04882v1""",cs.LG,['cs.LG'],"['ILLIA OLEKSIIENKO', 'ALEXANDROS IOSIFIDIS']",2022
Translate First Reorder Later: Leveraging Monotonicity in Semantic Parsing,2022-10-10 17:50:42+00:00,6,"""http://arxiv.org/pdf/2210.04878v1""",cs.CL,"['cs.CL', 'cs.AI', 'cs.LG']","['FRANCESCO CAZZARO', 'DAVIDE LOCATELLI', 'ARIADNA QUATTONI', 'XAVIER CARRERAS']",2022
CORE: A Retrieve-then-Edit Framework for Counterfactual Data Generation,2022-10-10 17:45:38+00:00,7,"""http://arxiv.org/pdf/2210.04873v1""",cs.CL,['cs.CL'],"['TANAY DIXIT', 'BHARGAVI PARANJAPE', 'HANNANEH HAJISHIRZI', 'LUKE ZETTLEMOYER']",2022
Sequential Neural Score Estimation: Likelihood-Free Inference with Conditional Score Based Diffusion Models,2022-10-10 17:45:37+00:00,8,"""http://arxiv.org/pdf/2210.04872v1""",stat.ML,"['stat.ML', 'cs.LG']","['LOUIS SHARROCK', 'JACK SIMONS', 'SONG LIU', 'MARK BEAUMONT']",2022
Certified Training: Small Boxes are All You Need,2022-10-10 17:44:11+00:00,9,"""http://arxiv.org/pdf/2210.04871v1""",cs.LG,"['cs.LG', 'cs.CR']","['MARK NIKLAS MÜLLER', 'FRANZISKA ECKERT', 'MARC FISCHER', 'MARTIN VECHEV']",2022
