index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
A. A. PLAZAS MALAGÓN,-0.15993166,-0.08478328,0.3212768,-0.03953766,0.5161231,0.009786728,0.038153477,0.26247802,0.12244376,-0.1454083,-0.4200891,-0.10361627,-0.2893065,0.2115442,0.20787778,0.6536548,-0.42947012,-0.44339988,-0.28230703,0.0743446,0.60698503,0.39628243,-0.52627325,-0.28802696,-0.34011218,0.04025217,-0.2548298,0.25998604,0.3112676,-0.2605269,0.16608153,-0.16069382,0.62147075,0.1303585,0.51603204,0.06515339,-0.01951694,-0.4833708,0.10579324,-0.50883436,-0.11404928,0.28942728,0.4256796,0.07702401,0.8039532,-0.14909784,0.14642736,-0.49071157,0.21156126,-0.0027832408,-0.22690347,0.121615075,0.13500069,0.23598585,-0.32013762,-0.58223647,0.30138025,-0.38347197,0.17264305,0.23501559,-0.09222641,-0.0018895115,0.07802354,0.15107052,0.3814613,-0.13222484,0.1929678,0.09437669,-0.11051272,-0.10438171,0.013934245,0.075675115,0.018092686,-0.7055608,0.44374847,-0.1796671,-0.14254741,0.20280376,-0.03944346,-0.29612428,-0.4264059,0.117703855,0.28169852,0.2493509,-0.31921962,0.088844754,0.41659304,-0.11136114,0.081075385,0.05587659,-0.19395502,-0.44165945,-0.18145935,-0.019718478,0.18985882,0.036437657,-0.18805535,-0.0689736,-0.33783996,0.07509326,0.12052019,0.09172781,-0.0772872,0.18873718,0.33328456,0.082824685,-0.40420806,0.54308665,-0.32890093,-0.06445182,-0.20671433,-0.0741066,-0.058132477,0.122812,0.68462205,0.1572775,-0.009207425,-0.07014934,-0.04890003,0.2773287,0.010531191,-0.42122623,0.29672942,0.05503722,-0.23449886,-0.12769043,0.33967423,0.043974675
A. BAKRY,0.14165965,0.24488242,0.42752686,-0.4124298,0.8891537,-0.2472141,0.15572043,-0.38846257,-0.1694983,-0.11831268,-0.09855002,0.34113458,0.041501686,-0.011667311,-0.17649385,0.85889167,-0.8268582,-0.16310927,-0.44430104,0.07196082,1.2483231,0.48379424,-0.652289,-0.22590439,-0.20717461,0.2033332,-0.5883822,0.42215085,-0.018560018,0.5885251,0.22087425,-0.53572804,-0.01202833,-0.06944308,-0.174252,-0.0640967,-0.10033101,-0.38726902,0.4054309,0.023490237,0.32776374,0.15863088,-0.013618888,0.436961,0.15103514,0.24766935,0.4897941,0.24633162,0.2950144,-0.62386584,0.12533091,-0.5906012,0.17864752,-0.43294555,-0.8019996,-0.52919644,0.24195369,0.18610604,-0.734943,0.082084306,0.15528579,0.25043163,-0.20836833,0.33936825,0.24781327,-0.35741043,0.12547825,-0.5027516,-0.6068633,0.058808997,0.117856055,-0.26465335,-0.40411854,-0.27396008,0.05054918,-0.28490752,-0.020909183,-0.6651593,-0.21428308,-0.5915197,-0.8280075,0.355591,0.34226045,-0.1411762,0.22273114,0.4123145,0.017630504,-0.2988134,-0.5510396,0.033049192,-0.09255275,-0.60298145,-0.6175618,0.14521389,0.073829144,0.2667356,-0.49284253,-0.1725433,0.08685929,-0.0043368917,-0.17998064,-0.17840487,-0.17500143,0.24015154,0.012273784,0.41751403,-0.31323326,0.5250148,-0.30630228,-0.78954226,0.16325179,-0.6697916,0.102816984,0.22099194,0.14640905,0.013731696,-0.043112632,-0.02403569,0.48086396,0.25603524,-0.1584448,-0.22289743,-0.44840285,-0.1586174,0.42497128,0.19215974,-0.03857148,0.15941973
A. BERTI,0.75636417,0.62939143,0.42589092,-0.3273552,0.050805494,0.18740557,-0.28321588,-0.6405491,-0.06424844,0.07882071,-0.40648115,-0.06975194,-0.30412123,-0.20434558,0.22784352,0.6841671,-0.8435094,-0.11510407,-0.4733745,0.653576,0.63414055,0.1907197,-0.07726616,-0.16171919,-0.0568529,0.3976615,-0.6214355,0.71307373,0.36959684,-0.1723349,-0.3271201,0.102266446,-0.40320468,-0.7001316,0.11014014,-0.05208483,-0.1407135,-0.40997475,-0.09578918,0.07760703,0.15807839,0.20155205,0.47448522,0.38931572,0.31801796,0.23143628,0.598254,-0.15380481,0.13963449,0.030843856,0.07619839,-0.36010328,0.0954097,0.2759544,-0.08811953,0.16113615,-0.09369216,-0.41062555,-0.30832553,0.4441091,0.41140237,0.5909648,-0.21875145,-0.13407172,0.056036085,-0.20334086,0.27530017,-0.50032645,0.009819885,-0.43249008,-0.14472649,0.5883273,-0.44065702,-0.44376528,0.02030612,0.39050332,0.35496134,0.031181129,-0.23761149,-0.39840198,-0.16008781,0.2864159,0.06437041,0.1726711,-0.30284664,0.32514513,0.294753,-0.74230015,0.23549372,0.0012853945,-0.098710015,-0.11005632,-0.3772979,0.017971963,0.70413744,0.022337016,-0.05828535,-0.19510289,0.090825915,0.03524861,0.16885115,0.75896937,-0.23718283,0.036959838,0.7166854,0.12074601,0.02331979,0.42303595,-0.27834937,-0.21330433,-0.247601,-0.3156052,0.85732085,0.2576179,-0.20512438,-0.2625708,0.21185845,0.07202492,0.117353134,-0.18221824,0.27787587,-0.7995917,-0.18038234,0.03975515,0.37027207,0.41687787,0.32525486,0.0019086585
A. BESTEIRO,0.5329201,-0.03614199,0.11156193,-0.28638333,0.1799651,-0.038383927,0.16508909,-0.41415462,0.3889849,0.034332443,0.13904054,-0.19872443,-0.19808109,0.11500059,-0.060735878,0.50562155,0.09191173,-0.0766118,-0.54158306,-0.17291506,0.64308643,0.29640567,-0.5687325,-0.40223452,0.21970472,-0.36408842,-0.23657946,0.23872119,0.2020702,0.24274045,-0.36614573,-0.018785032,0.10604167,0.27389407,-0.005728031,0.061450176,-0.13682999,-0.3118902,0.09691941,0.17535521,0.06667029,-0.08258555,0.000679926,0.12781441,0.02622928,-0.22529423,-0.14873971,-0.045683686,-0.14851785,0.019671189,0.017983055,-0.33465815,0.21152636,-0.27722558,0.10655202,-0.3725239,0.6132194,-0.042606678,-0.33326983,0.33353758,-0.40369213,-0.2567518,0.266545,-0.26331073,0.2687627,0.14462383,0.32198644,-0.618904,-0.51017284,-0.60926175,-0.25100642,0.30488437,-0.28924564,-0.3429117,0.21978243,-0.15422893,0.41753313,-0.25430644,-0.3906259,-0.37772554,-0.24789275,-0.027715566,-0.40656322,0.52839804,-0.16501416,0.57662654,0.13899642,-0.42337546,-0.039734043,0.19987275,-0.35139298,0.010724911,-0.23007405,0.0593918,0.3299302,-0.14945072,0.32204947,-0.39889857,-0.2348356,0.10206649,-0.25143427,0.54349864,0.07965444,0.22608672,-0.045277957,0.045154024,-0.13338386,-0.030121887,-0.24987105,-0.25131243,0.06180654,-0.40071383,-0.078460366,-0.10267741,0.2372731,0.17001411,-0.15190528,-0.00049003965,0.18727373,-0.2718722,-0.15017945,-0.4538299,0.07436795,0.42184463,0.2539423,0.24915883,-0.14652957,-0.23555292
A. C. KRAAN,0.7177346,0.6519008,0.38179293,-0.28064984,0.08467948,0.21279502,-0.282517,-0.6287583,-0.15449557,0.07803784,-0.36210242,-0.069939904,-0.3294024,-0.22164193,0.28780827,0.7327243,-0.8348377,-0.091419265,-0.45727915,0.6082783,0.60677123,0.121860646,-0.15774874,-0.17795376,-0.056751657,0.3756646,-0.65204304,0.69871587,0.38043416,-0.23002383,-0.3132327,0.12312452,-0.4396286,-0.6972205,0.07970581,-0.10317087,-0.09397287,-0.41088232,-0.04841859,0.145056,0.15646979,0.20318282,0.47075534,0.4692355,0.3352902,0.17063297,0.59780705,-0.16893092,0.0828561,0.029305398,0.055166554,-0.38921997,0.077538855,0.33578297,-0.12506238,0.09066816,-0.025509505,-0.4050365,-0.26528162,0.4607053,0.43414137,0.5745485,-0.1899735,-0.13037342,0.03221494,-0.19599044,0.2809423,-0.46960178,-0.040935222,-0.38190514,-0.095163554,0.572362,-0.41378337,-0.4412043,-0.064352304,0.37538812,0.3682468,-0.0015599123,-0.25623354,-0.43144324,-0.13189812,0.30458,0.111511424,0.14623724,-0.2530069,0.35892484,0.29428917,-0.74373657,0.23892897,-0.06941357,-0.061134905,-0.15910777,-0.3923954,0.014154926,0.6909162,0.01426216,-0.002574175,-0.1635088,0.042675793,-0.024097545,0.14047953,0.79569656,-0.23397161,0.06356167,0.7212457,0.14212975,0.0074490914,0.4385766,-0.27146858,-0.19356923,-0.2882585,-0.36180767,0.8086305,0.26921305,-0.16752778,-0.21162857,0.19479087,0.07472529,0.1620658,-0.18075992,0.18758234,-0.8301436,-0.15613696,0.12406384,0.31498048,0.31878528,0.35866487,-0.001596597
A. CARNERO ROSELL,-0.13713546,-0.107405595,0.33728454,-0.03141325,0.52560353,0.0060028112,-0.067896694,0.3589922,0.1651756,-0.08981323,-0.45813125,-0.15273255,-0.28154373,0.15322325,0.19653618,0.6638891,-0.4176168,-0.46224728,-0.33386242,0.09156096,0.6120628,0.42031315,-0.50638723,-0.33463782,-0.31526577,0.0102775935,-0.28864783,0.24932776,0.25484252,-0.24448226,0.15416509,-0.11039642,0.6276711,0.06694913,0.5372616,0.013243225,0.02779829,-0.4805371,0.12028779,-0.43063214,-0.137968,0.3694536,0.4823226,0.089633666,0.81023806,-0.12888582,0.17677073,-0.4738271,0.19732222,-0.011334597,-0.19454718,0.17946991,0.102743335,0.2583961,-0.29436502,-0.56919396,0.28438026,-0.31964454,0.1534922,0.22701932,-0.0823295,-0.035742816,0.081187606,0.12649842,0.36165613,-0.12928802,0.20388745,0.031194922,-0.15238969,-0.087375194,0.02114486,0.04974986,-0.03021785,-0.6984324,0.45880622,-0.14483486,-0.12659712,0.16196011,-0.04326515,-0.28632283,-0.42563662,0.067068286,0.29250094,0.2508974,-0.3272419,0.060272478,0.44096816,-0.071773134,0.057184607,0.07773143,-0.21931657,-0.49701712,-0.18844736,0.06463765,0.20438612,0.06693542,-0.22184394,-0.052690074,-0.396837,0.10083273,0.05144049,0.087857775,-0.055458356,0.23964292,0.3238165,0.088143095,-0.41799635,0.5387815,-0.32712433,0.016662164,-0.19643888,-0.07377353,-0.06351893,0.1290927,0.7093813,0.101960056,0.009397956,-0.09970121,-0.021378627,0.2923606,0.01473485,-0.4083775,0.25492737,0.030004092,-0.23131475,-0.14504695,0.30904907,0.024243107
A. CHATILLON,0.53760177,-0.068009526,0.11648378,-0.2829173,0.24381089,-0.10057571,0.14897253,-0.4280543,0.4433257,0.10791206,0.1367806,-0.23410113,-0.25465056,0.047737744,-0.068418615,0.4707654,0.12628888,-0.07659461,-0.48591244,-0.17837164,0.61382675,0.32595173,-0.5289246,-0.4722882,0.2557627,-0.41043854,-0.20387377,0.25865865,0.19090372,0.21811454,-0.30858904,0.0010998165,0.06538068,0.2684602,0.064552985,0.060069807,-0.13923652,-0.31007797,0.09012369,0.15359126,-0.020365896,-0.06327818,0.075213864,0.10144656,0.021859676,-0.2153818,-0.100357465,-0.046690464,-0.08411822,0.020401724,0.043555953,-0.32966855,0.18654071,-0.23280601,0.0846025,-0.40456054,0.61725765,-0.04547755,-0.32502732,0.34431663,-0.46071485,-0.2677932,0.24357374,-0.21697043,0.2632349,0.1681515,0.3760417,-0.62661725,-0.53632855,-0.576397,-0.2776507,0.25996247,-0.31772014,-0.3139156,0.22779453,-0.103370726,0.43106008,-0.20587794,-0.40008318,-0.3563714,-0.22573316,-0.060329184,-0.41044474,0.512729,-0.14140691,0.52116764,0.09147243,-0.53351575,-0.07559459,0.16641241,-0.2851742,-0.040223155,-0.23548354,0.07194535,0.32340026,-0.14306405,0.36360455,-0.32506332,-0.2615266,0.13223039,-0.2581665,0.54256666,0.03826652,0.35766903,-0.016278224,0.018372912,-0.09983491,-0.062237952,-0.28123802,-0.2545064,0.10254159,-0.45380068,-0.0689629,-0.12977663,0.27142605,0.16663551,-0.23070835,0.02796318,0.123534866,-0.27283838,-0.21219762,-0.35884452,0.08238349,0.3939156,0.27321616,0.2978254,-0.12612261,-0.24577157
A. CORSI,0.5276478,-0.009229735,0.12127137,-0.30257538,0.17586935,-0.08137447,0.21252432,-0.37283292,0.40215832,0.06445102,0.13382924,-0.23773704,-0.22296685,0.13981558,-0.076853946,0.50125843,0.1100323,-0.08676755,-0.5001143,-0.17638893,0.6104548,0.3320409,-0.49341312,-0.3688988,0.25762883,-0.33383024,-0.19960064,0.31186312,0.24035102,0.21062636,-0.332138,-0.041129585,0.15231998,0.2668707,-0.0018387467,0.07473322,-0.18811236,-0.2561097,0.12594183,0.15966949,0.064558834,-0.044615198,0.023456812,0.18653476,-0.019662248,-0.25764126,-0.17157474,-0.043301065,-0.100590535,-0.034072157,0.03998102,-0.31773996,0.2319197,-0.23950368,0.1282202,-0.37035692,0.59841216,-0.049160354,-0.28742224,0.35314497,-0.4080634,-0.2635144,0.26831144,-0.21128118,0.32443708,0.1979847,0.34603766,-0.6465577,-0.5048865,-0.621256,-0.24594314,0.26323056,-0.2654567,-0.3552325,0.2282167,-0.14626491,0.45672506,-0.24505354,-0.37489763,-0.27476457,-0.2847738,-0.047563385,-0.44225836,0.51523757,-0.17601286,0.6620843,0.06844845,-0.48826614,-0.04759338,0.21150538,-0.35490566,-0.019723605,-0.2938193,0.09641443,0.32115638,-0.15828936,0.33784983,-0.37141332,-0.26572594,0.037738115,-0.2284924,0.57902634,0.058423795,0.32328877,0.006294885,0.057807762,-0.11095719,-0.029222803,-0.23452511,-0.24224378,0.053989783,-0.3685886,-0.0570745,-0.11082837,0.22855969,0.2113245,-0.17898683,8.1409555e-05,0.201894,-0.2553288,-0.18058038,-0.38671276,0.07694559,0.39234442,0.21291678,0.23577452,-0.16497152,-0.22898042
A. GALAL,0.12299,0.19960973,0.43481022,-0.44941062,0.88212955,-0.2331606,0.16338053,-0.4257574,-0.15350439,-0.07195445,-0.086216986,0.33169433,-0.009238721,0.04233246,-0.18051535,0.8670351,-0.8340844,-0.17810602,-0.4696792,0.02723231,1.29671,0.58099675,-0.59966904,-0.24839191,-0.14507785,0.16010311,-0.6198183,0.38902318,0.005924822,0.6292376,0.24773659,-0.5357254,-0.044593073,-0.05756699,-0.1344796,-0.13294725,-0.031780504,-0.3384755,0.4342333,0.013888706,0.28420016,0.12894277,-0.00909397,0.43833652,0.1932088,0.2407114,0.5110053,0.22523877,0.27960134,-0.5697605,0.12811224,-0.521537,0.16266307,-0.41810277,-0.8490237,-0.58092636,0.24073297,0.2009898,-0.7293014,0.14320022,0.15151396,0.31367746,-0.16192006,0.36195052,0.17290196,-0.35907382,0.06686277,-0.52383363,-0.5751325,0.07379354,0.050110817,-0.25658602,-0.52036566,-0.31208593,-0.047554124,-0.30278018,0.004842205,-0.66443133,-0.20871785,-0.5924146,-0.8057576,0.34976125,0.426846,-0.12976944,0.24078414,0.41103005,0.059707645,-0.23937269,-0.59507304,0.06843916,-0.074927114,-0.691527,-0.6896899,0.09671221,0.08797266,0.21287358,-0.48564288,-0.13263403,0.12054422,-0.048072983,-0.10765739,-0.15402721,-0.18766621,0.28615072,-0.04254523,0.38946086,-0.3570416,0.51540804,-0.33858407,-0.7145306,0.15190752,-0.73754257,0.13543138,0.178778,0.13038944,0.014788945,0.028919531,0.04097542,0.462338,0.21268557,-0.23073861,-0.27386996,-0.41950807,-0.15410782,0.4073282,0.18812172,-0.049555507,0.08474309
A. GRAÑA-GONZÁLEZ,0.524751,-0.023290316,0.1719813,-0.29207855,0.17918569,-0.11576979,0.17137766,-0.36897293,0.36917454,0.04960844,0.17211688,-0.21953684,-0.23229016,0.18378954,-0.10750478,0.47496983,0.05801914,-0.03791625,-0.4766855,-0.123891234,0.6434023,0.29046008,-0.5697336,-0.44620982,0.2787057,-0.42317286,-0.19738266,0.255987,0.20557195,0.23883253,-0.37015298,-0.015524547,0.11352009,0.22177881,0.03489103,0.08515903,-0.16210733,-0.32429728,0.07929273,0.11418685,0.021195311,-0.028474724,0.034647007,0.16836695,-0.001171145,-0.27345175,-0.13289472,-0.017152404,-0.122497864,0.031920765,0.047962174,-0.3556102,0.19677062,-0.23356375,0.11812541,-0.3488607,0.57198995,-0.09689043,-0.39319184,0.38760003,-0.3659616,-0.22584806,0.20726432,-0.2589202,0.2667898,0.11165891,0.3272126,-0.60296774,-0.49296835,-0.59797996,-0.22962955,0.29519302,-0.36786053,-0.3614789,0.29879767,-0.15407622,0.4251767,-0.15502445,-0.43263498,-0.34415948,-0.28537136,0.015256713,-0.42677268,0.43914628,-0.086720124,0.6187228,0.06066413,-0.49856386,-0.025018606,0.14051959,-0.32270983,0.04507764,-0.25863022,0.09846944,0.306972,-0.18070796,0.36059353,-0.3768016,-0.32845482,0.09136789,-0.31024832,0.5511225,0.06544284,0.31968567,-0.011780907,-0.013340491,-0.05638548,-0.0019664487,-0.18344168,-0.22558509,0.065806314,-0.34487852,-0.13420415,-0.1559828,0.21760279,0.19309089,-0.21662915,0.01915815,0.16878876,-0.28413767,-0.22051689,-0.39390117,0.05095507,0.3835078,0.2163709,0.30678016,-0.14208125,-0.27971807
